bacteria_id\bacteria_slug\bacteria_name
0\staphylococcus-aureus\Staphylococcus aureus
1\escherichia-coli\Escherichia coli
2\streptococcus-pyogenes\Streptococcus pyogenes
3\pseudomonas-aeruginosa\Pseudomonas aeruginosa
4\klebsiella-pneumoniae\Klebsiella pneumoniae
5\proteus-mirabilis\Proteus mirabilis
6\clostridium-difficile\Clostridium difficile
7\salmonella-enterica\Salmonella enterica
8\shigella-dysenteriae\Shigella dysenteriae
9\listeria-monocytogenes\Listeria monocytogenes
10\corynebacterium-diphtheriae\Corynebacterium diphtheriae
11\neisseria-gonorrhoeae\Neisseria gonorrhoeae
12\haemophilus-influenzae\Haemophilus influenzae
13\bacillus-cereus\Bacillus cereus
14\yersinia-enterocolitica\Yersinia enterocolitica
15\vibrio-cholerae\Vibrio cholerae
16\acinetobacter-baumannii\Acinetobacter baumannii
17\stenotrophomonas-maltophilia\Stenotrophomonas maltophilia
18\serratia-marcescens\Serratia marcescens
19\providencia-stuartii\Providencia stuartii
