 Patogeno                                | Esempi di problemi                                                      
 Trichoderma spp.                        | Competizione per nutrimento, riduzione della resa, deterioramento     
 Verticillium fungicola                  | Riduzione della crescita dei funghi, compromissione della qualità    
 Contaminanti batterici come Pseudomonas spp. | Decomposizione dei substrati, contaminazione microbiologica       
 Virus del fungo                          | Infezione del fungo coltivato, riduzione della produzione             
 Nematodi parassiti come Aphelenchoides spp. | Deterioramento delle radici, compromissione della salute delle piante 
 Fusarium spp.                            | Marciume delle radici, perdita di raccolto, degrado della qualità      
 Rhizoctonia spp.                         | Malattia del colletto, marciume delle radici, perdita di resa          
 Bacillus spp.                            | Decomposizione dei substrati, contaminazione microbica                
 Mucor spp.                               | Decomposizione dei substrati, contaminazione microbiologica           
 Alternaria spp.                          | Macchie sulle piante, riduzione della resa, perdita di qualità        
