 Odore         | Problemi Associati        
 Pesce in decomposizione | Attrattivo per insetti  
 Ammoniaca             | Irritante per le vie respiratorie 
 Acido solfidrico      | Nocivo per la salute umana   
 Pesce marcio          | Riduzione del valore del prodotto  
 Muffa                 | Degrada la qualità del pesce 
 Alghe in decomposizione | Odore penetrante nell'ambiente 
 Prodotti chimici      | Potenziali rischi tossici 
 Fango marino          | Cattivo odore nell'area di lavoro 
 Anidride solforosa    | Irritante e tossica 
 Rifiuti organici      | Aumento dei costi di smaltimento 
