 Patogeno                   | Problemi                                                  
 Salmonella                 | Intossicazioni alimentari, richiami di prodotti, infezioni          
 Escherichia coli (E. coli) | Contaminazione fecale, diarrea, malattie gastrointestinali         
 Vibrio parahaemolyticus    | Infezioni gastrointestinali, diarrea, nausea                        
 Listeria monocytogenes    | Meningite, aborto spontaneo, sepsi, intossicazioni alimentari      
 Clostridium botulinum      | Intossicazioni alimentari gravi, paralisi muscolare, morte          
 Staphylococcus aureus      | Intossicazioni alimentari, vomito, diarrea, nausea                   
 Vibrio vulnificus          | Infezioni della pelle, sepsi, diarrea, febbre                       
 Aeromonas hydrophila       | Infezioni della pelle, gastroenterite, sepsi                       
 Campylobacter spp.         | Gastroenteriti, diarrea sanguinolenta, febbre, malattie gastrointestinali 
 Shigella spp.              | Diarrea, colite, febbre, crampi addominali                          
